"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_aaaaa",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,15.2,4145.1
"basis_aaaax",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,15.2,4145.1
"basis_aaaaz",913.9,1048.8,379.6,239.6,356.1,245.4,484.3,212,150.4,99.8,15.2,4145.1
"basis_aaaqa",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,15.2,4075.9
"basis_aaaqx",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,15.2,4075.9
"basis_aaaqz",891.9,1024.3,369,233.4,356.1,245.4,478.4,212,150.4,99.8,15.2,4075.9
"basis_aaara",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4108.9
"basis_aaarx",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4108.9
"basis_aaarz",902.3,1036,374.1,236.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4108.9
"basis_aaasa",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,15.2,4045.9
"basis_aaasx",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,15.2,4045.9
"basis_aaasz",882.3,1013.7,364.4,230.8,356.1,245.4,475.8,212,150.4,99.8,15.2,4045.9
"basis_aakaa",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4160.5
"basis_aakax",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4160.5
"basis_aakaz",913.9,1048.8,387.2,247.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4160.5
"basis_aakqa",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,15.2,4090.9
"basis_aakqx",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,15.2,4090.9
"basis_aakqz",891.9,1024.3,376.4,241,356.1,245.4,478.4,212,150.4,99.8,15.2,4090.9
"basis_aakra",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,15.2,4123.9
"basis_aakrx",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,15.2,4123.9
"basis_aakrz",902.3,1036,381.5,244,356.1,245.4,481.2,212,150.4,99.8,15.2,4123.9
"basis_aaksa",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,15.2,4060.6
"basis_aaksx",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,15.2,4060.6
"basis_aaksz",882.3,1013.7,371.7,238.2,356.1,245.4,475.8,212,150.4,99.8,15.2,4060.6
"basis_aalaa",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4230.3
"basis_aalax",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4230.3
"basis_aalaz",913.9,1048.8,443,261.4,356.1,245.4,484.3,212,150.4,99.8,15.2,4230.3
"basis_aalqa",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,15.2,4158.8
"basis_aalqx",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,15.2,4158.8
"basis_aalqz",891.9,1024.3,430.7,254.6,356.1,245.4,478.4,212,150.4,99.8,15.2,4158.8
"basis_aalra",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,15.2,4192.8
"basis_aalrx",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,15.2,4192.8
"basis_aalrz",902.3,1036,436.6,257.8,356.1,245.4,481.2,212,150.4,99.8,15.2,4192.8
"basis_aalsa",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,15.2,4127.6
"basis_aalsx",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,15.2,4127.6
"basis_aalsz",882.3,1013.7,425.3,251.6,356.1,245.4,475.8,212,150.4,99.8,15.2,4127.6
"basis_aamaa",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,15.2,4394.7
"basis_aamax",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,15.2,4394.7
"basis_aamaz",1012.8,1048.8,477.4,292.5,356.1,245.4,484.3,212,150.4,99.8,15.2,4394.7
"basis_aamqa",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,15.2,4318.3
"basis_aamqx",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,15.2,4318.3
"basis_aamqz",988.4,1023.8,464.1,284.7,356.1,245.4,478.4,212,150.4,99.8,15.2,4318.3
"basis_aamra",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4354.6
"basis_aamrx",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4354.6
"basis_aamrz",1000,1035.7,470.4,288.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4354.6
"basis_aamsa",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,15.2,4285.1
"basis_aamsx",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,15.2,4285.1
"basis_aamsz",977.8,1013,458.3,281.3,356.1,245.4,475.8,212,150.4,99.8,15.2,4285.1
"basis_aanaa",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,15.2,4207.5
"basis_aanax",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,15.2,4207.5
"basis_aanaz",938.6,1048.8,404.1,252.8,356.1,245.4,484.3,212,150.4,99.8,15.2,4207.5
"basis_aanqa",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,15.2,4136.6
"basis_aanqx",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,15.2,4136.6
"basis_aanqz",916,1024.2,392.8,246.3,356.1,245.4,478.4,212,150.4,99.8,15.2,4136.6
"basis_aanra",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4170.4
"basis_aanrx",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4170.4
"basis_aanrz",926.8,1035.9,398.2,249.4,356.1,245.4,481.2,212,150.4,99.8,15.2,4170.4
"basis_aansa",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,15.2,4105.7
"basis_aansx",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,15.2,4105.7
"basis_aansz",906.2,1013.5,387.9,243.4,356.1,245.4,475.8,212,150.4,99.8,15.2,4105.7
"basis_afaaa",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,15.2,3981
"basis_afaax",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,15.2,3981
"basis_afaaz",860,970,360.4,228.8,356.1,245.4,484.3,212,150.4,98.4,15.2,3981
"basis_afaqa",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,15.2,3915.6
"basis_afaqx",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,15.2,3915.6
"basis_afaqz",839.3,947.2,350.3,222.9,356.1,245.4,478.4,212,150.4,98.4,15.2,3915.6
"basis_afara",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,15.2,3946.6
"basis_afarx",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,15.2,3946.6
"basis_afarz",849.1,958,355.1,225.7,356.1,245.4,481.2,212,150.4,98.4,15.2,3946.6
"basis_afasa",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,15.2,3887.2
"basis_afasx",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,15.2,3887.2
"basis_afasz",830.3,937.3,345.9,220.4,356.1,245.4,475.8,212,150.4,98.4,15.2,3887.2
"basis_afkaa",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,15.2,3995.6
"basis_afkax",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,15.2,3995.6
"basis_afkaz",860,970,367.6,236.2,356.1,245.4,484.3,212,150.4,98.4,15.2,3995.6
"basis_afkqa",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3929.8
"basis_afkqx",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3929.8
"basis_afkqz",839.3,947.2,357.3,230.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3929.8
"basis_afkra",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,15.2,3961
"basis_afkrx",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,15.2,3961
"basis_afkrz",849.1,958,362.2,233,356.1,245.4,481.2,212,150.4,98.4,15.2,3961
"basis_afksa",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,15.2,3901.3
"basis_afksx",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,15.2,3901.3
"basis_afksz",830.3,937.3,352.9,227.5,356.1,245.4,475.8,212,150.4,98.4,15.2,3901.3
"basis_aflaa",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,15.2,4062
"basis_aflax",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,15.2,4062
"basis_aflaz",860,970,420.6,249.6,356.1,245.4,484.3,212,150.4,98.4,15.2,4062
"basis_aflqa",839.3,947.2,408.8,243.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3994.3
"basis_aflqx",839.3,947.2,408.8,243.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3994.3
"basis_aflqz",839.3,947.2,408.8,243.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3994.3
"basis_aflra",849.1,958,414.4,246.2,356.1,245.4,481.2,212,150.4,98.4,15.2,4026.4
"basis_aflrx",849.1,958,414.4,246.2,356.1,245.4,481.2,212,150.4,98.4,15.2,4026.4
"basis_aflrz",849.1,958,414.4,246.2,356.1,245.4,481.2,212,150.4,98.4,15.2,4026.4
"basis_aflsa",830.3,937.3,403.7,240.2,356.1,245.4,475.8,212,150.4,98.4,15.2,3964.8
"basis_aflsx",830.3,937.3,403.7,240.2,356.1,245.4,475.8,212,150.4,98.4,15.2,3964.8
"basis_aflsz",830.3,937.3,403.7,240.2,356.1,245.4,475.8,212,150.4,98.4,15.2,3964.8
"basis_afmaa",953,974.8,453.2,279.2,356.1,245.4,484.3,212,150.4,98.4,15.2,4222
"basis_afmax",953,974.8,453.2,279.2,356.1,245.4,484.3,212,150.4,98.4,15.2,4222
"basis_afmaz",953,974.8,453.2,279.2,356.1,245.4,484.3,212,150.4,98.4,15.2,4222
"basis_afmqa",930.1,951.4,440.5,271.8,356.1,245.4,478.4,212,150.4,98.4,15.2,4149.7
"basis_afmqx",930.1,951.4,440.5,271.8,356.1,245.4,478.4,212,150.4,98.4,15.2,4149.7
"basis_afmqz",930.1,951.4,440.5,271.8,356.1,245.4,478.4,212,150.4,98.4,15.2,4149.7
"basis_afmra",941,962.5,446.6,275.3,356.1,245.4,481.2,212,150.4,98.4,15.2,4184.1
"basis_afmrx",941,962.5,446.6,275.3,356.1,245.4,481.2,212,150.4,98.4,15.2,4184.1
"basis_afmrz",941,962.5,446.6,275.3,356.1,245.4,481.2,212,150.4,98.4,15.2,4184.1
"basis_afmsa",920.1,941.3,435,268.5,356.1,245.4,475.8,212,150.4,98.4,15.2,4118.2
"basis_afmsx",920.1,941.3,435,268.5,356.1,245.4,475.8,212,150.4,98.4,15.2,4118.2
"basis_afmsz",920.1,941.3,435,268.5,356.1,245.4,475.8,212,150.4,98.4,15.2,4118.2
"basis_afnaa",883.2,971.2,383.6,241.4,356.1,245.4,484.3,212,150.4,98.4,15.2,4041.2
"basis_afnax",883.2,971.2,383.6,241.4,356.1,245.4,484.3,212,150.4,98.4,15.2,4041.2
"basis_afnaz",883.2,971.2,383.6,241.4,356.1,245.4,484.3,212,150.4,98.4,15.2,4041.2
"basis_afnqa",862,948.2,372.9,235.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3974.1
"basis_afnqx",862,948.2,372.9,235.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3974.1
"basis_afnqz",862,948.2,372.9,235.1,356.1,245.4,478.4,212,150.4,98.4,15.2,3974.1
"basis_afnra",872.1,959.2,378,238.1,356.1,245.4,481.2,212,150.4,98.4,15.2,4006.1
"basis_afnrx",872.1,959.2,378,238.1,356.1,245.4,481.2,212,150.4,98.4,15.2,4006.1
"basis_afnrz",872.1,959.2,378,238.1,356.1,245.4,481.2,212,150.4,98.4,15.2,4006.1
"basis_afnsa",852.7,938.3,368.2,232.4,356.1,245.4,475.8,212,150.4,98.4,15.2,3944.9
"basis_afnsx",852.7,938.3,368.2,232.4,356.1,245.4,475.8,212,150.4,98.4,15.2,3944.9
