"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_aaaaa",0.6713,1.5334,0.5549,0.355,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0303,4.9088
"basis_aaaax",0.6713,1.5334,0.5549,0.358,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0318,5.0017
"basis_aaaaz",0.6713,1.5334,0.5549,0.3668,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0364,5.2798
"basis_aaaqa",0.6102,1.3915,0.5001,0.3193,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0276,4.4538
"basis_aaaqx",0.6102,1.3915,0.5001,0.322,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.029,4.5381
"basis_aaaqz",0.6102,1.3915,0.5001,0.33,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0331,4.7909
"basis_aaara",0.6393,1.4591,0.5262,0.3363,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0289,4.6705
"basis_aaarx",0.6393,1.4591,0.5262,0.3391,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0303,4.7587
"basis_aaarz",0.6393,1.4591,0.5262,0.3475,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0347,5.0237
"basis_aaasa",0.5837,1.3298,0.4762,0.3037,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0264,4.2557
"basis_aaasx",0.5837,1.3298,0.4762,0.3063,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0277,4.3364
"basis_aaasz",0.5837,1.3298,0.4762,0.314,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0316,4.5783
"basis_aakaa",0.6713,1.5334,0.56,0.3786,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0303,4.9375
"basis_aakax",0.6713,1.5334,0.56,0.3815,0.1902,0.4645,0.6261,0.3114,0.2231,0.037,0.0318,5.0303
"basis_aakaz",0.6713,1.5334,0.56,0.3904,0.2174,0.5309,0.7155,0.3559,0.255,0.0423,0.0364,5.3085
"basis_aakqa",0.6102,1.3915,0.5046,0.3404,0.1647,0.4022,0.5434,0.2696,0.1932,0.032,0.0276,4.4794
"basis_aakqx",0.6102,1.3915,0.5046,0.3431,0.1729,0.4223,0.5706,0.2831,0.2028,0.0336,0.029,4.5637
"basis_aakqz",0.6102,1.3915,0.5046,0.3511,0.1976,0.4826,0.6521,0.3235,0.2318,0.0384,0.0331,4.8165
"basis_aakra",0.6393,1.4591,0.531,0.3586,0.1725,0.4213,0.5686,0.2824,0.2023,0.0336,0.0289,4.6976
"basis_aakrx",0.6393,1.4591,0.531,0.3614,0.1811,0.4424,0.597,0.2965,0.2125,0.0352,0.0303,4.7858
"basis_aakrz",0.6393,1.4591,0.531,0.3698,0.207,0.5056,0.6823,0.3389,0.2428,0.0403,0.0347,5.0508
"basis_aaksa",0.5837,1.3298,0.4805,0.3239,0.1575,0.3847,0.5204,0.2579,0.1848,0.0306,0.0264,4.2802
"basis_aaksx",0.5837,1.3298,0.4805,0.3264,0.1654,0.4039,0.5464,0.2708,0.194,0.0322,0.0277,4.3608
"basis_aaksz",0.5837,1.3298,0.4805,0.3341,0.189,0.4616,0.6245,0.3094,0.2217,0.0368,0.0316,4.6027
"basis_aalaa",0.6713,1.5334,0.6667,0.412,0.1811,0.4424,0.5962,0.2965,0.2125,0.0352,0.0303,5.0776
