"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_aaaaa",0.67127,1.53338,0.55492,0.35501,0.18115,0.4424,0.59625,0.29655,0.21247,0.03523,0.03033,4.90896
"basis_aaaax",0.67127,1.53338,0.55492,0.35796,0.19021,0.46452,0.62606,0.31138,0.22309,0.03699,0.03185,5.00163
"basis_aaaay",0.67127,1.53338,0.55492,0.3609,0.19926,0.48664,0.65587,0.3262,0.23371,0.03876,0.03336,5.09427
"basis_aaaaz",1.10849,2.67998,0.88865,0.59135,0.21738,0.53088,0.7155,0.35586,0.25496,0.04228,0.0364,7.42173
"basis_aaaqa",0.61025,1.3915,0.50008,0.31928,0.16468,0.40218,0.54339,0.26959,0.19315,0.03203,0.02757,4.4537
"basis_aaaqx",0.61025,1.3915,0.50008,0.32195,0.17292,0.42229,0.57056,0.28307,0.20281,0.03363,0.02895,4.53801
"basis_aaaqy",0.61025,1.3915,0.50008,0.32463,0.18115,0.4424,0.59773,0.29655,0.21247,0.03523,0.03033,4.62232
"basis_aaaqz",1.00772,2.43212,0.80082,0.53151,0.19762,0.48261,0.65207,0.32351,0.23178,0.03844,0.03309,6.73129
"basis_aaara",0.63931,1.45906,0.52619,0.33629,0.17252,0.42133,0.56856,0.28243,0.20235,0.03356,0.02889,4.67049
"basis_aaarx",0.63931,1.45906,0.52619,0.3391,0.18115,0.4424,0.59699,0.29655,0.21247,0.03523,0.03033,4.75878
"basis_aaary",0.63931,1.45906,0.52619,0.3419,0.18978,0.46346,0.62542,0.31067,0.22258,0.03691,0.03177,4.84705
"basis_aaarz",1.05571,2.55015,0.84264,0.56,0.20703,0.5056,0.68227,0.33891,0.24282,0.04027,0.03466,7.06006
"basis_aaasa",0.58372,1.32982,0.47623,0.30374,0.15752,0.38469,0.52041,0.25787,0.18475,0.03064,0.02637,4.25576
"basis_aaasx",0.58372,1.32982,0.47623,0.3063,0.1654,0.40393,0.54643,0.27076,0.19399,0.03217,0.02769,4.33644
"basis_aaasy",0.58372,1.32982,0.47623,0.30886,0.17327,0.42316,0.57245,0.28365,0.20323,0.0337,0.02901,4.4171
"basis_aaasz",0.96391,2.32435,0.76263,0.50549,0.18903,0.46163,0.62449,0.30944,0.22171,0.03676,0.03165,6.43109
"basis_aakaa",0.67127,1.53338,0.55995,0.3786,0.18115,0.4424,0.59625,0.29655,0.21247,0.03523,0.03033,4.93758
"basis_aakax",0.67127,1.53338,0.55995,0.38154,0.19021,0.46452,0.62606,0.31138,0.22309,0.03699,0.03185,5.03024
"basis_aakay",0.67127,1.53338,0.55995,0.38449,0.19926,0.48664,0.65587,0.3262,0.23371,0.03876,0.03336,5.12289
"basis_aakaz",1.10849,2.67998,0.8967,0.63282,0.21738,0.53088,0.7155,0.35586,0.25496,0.04228,0.0364,7.47125
"basis_aakqa",0.61025,1.3915,0.50461,0.34044,0.16468,0.40218,0.54339,0.26959,0.19315,0.03203,0.02757,4.47939
"basis_aakqx",0.61025,1.3915,0.50461,0.34312,0.17292,0.42229,0.57056,0.28307,0.20281,0.03363,0.02895,4.56371
"basis_aakqy",0.61025,1.3915,0.50461,0.3458,0.18115,0.4424,0.59773,0.29655,0.21247,0.03523,0.03033,4.64802
"basis_aakqz",1.00772,2.43212,0.80807,0.56872,0.19762,0.48261,0.65207,0.32351,0.23178,0.03844,0.03309,6.77575
